04/08/13;"1:49:17";"4:17:11";"0:53:11";"0:1:57";"0:0:15"
08/08/13;"0:6:35";"0:30:43";"0:32:3";"0:9:39";"0:0:0"
10/08/13;"1:28:1";"2:51:2";"2:47:12";"0:9:23";"0:0:0"
12/08/13;"0:30:28";"0:29:55";"0:19:18";"0:8:26";"0:0:0"
15/08/13;"0:28:57";"0:27:3";"0:39:10";"0:4:44";"0:0:0"
15/08/13;"1:10:54";"0:21:7";"0:5:26";"0:0:0";"0:0:0"
19/08/13;"0:20:53";"0:26:5";"0:20:4";"0:10:19";"0:0:0"
21/08/13;"0:33:51";"0:22:23";"0:14:19";"0:4:3";"0:0:0"
23/08/13;"0:8:48";"0:35:2";"0:43:6";"0:3:13";"0:0:0"
25/08/13;"0:36:38";"0:11:41";"0:1:0";"0:0:0";"0:0:0"
27/08/13;"0:6:44";"0:17:51";"0:13:17";"0:0:0";"0:0:0"
30/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
06/09/13;"0:21:43";"0:27:4";"0:9:4";"0:0:0";"0:0:0"
07/09/13;"0:6:2";"0:12:31";"0:15:43";"0:0:30";"0:0:0"
09/09/13;"0:4:39";"0:22:17";"0:13:58";"0:1:40";"0:0:0"
11/09/13;"0:11:7";"0:26:56";"0:20:50";"0:5:11";"0:0:0"
16/09/13;"0:12:18";"0:26:37";"0:15:46";"0:0:21";"0:0:31"
17/09/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
23/09/13;"0:54:51";"1:47:18";"2:9:46";"1:7:54";"0:0:0"
23/09/13;"2:59:40";"2:59:34";"1:5:0";"0:0:0";"0:0:0"
26/09/13;"4:52:12";"0:9:50";"0:0:0";"0:0:0";"0:0:0"
01/10/13;"0:4:11";"0:23:0";"0:12:59";"0:4:38";"0:0:0"
02/10/13;"0:9:59";"0:27:8";"0:15:27";"0:2:30";"0:2:43"
03/10/13;"0:8:53";"0:23:32";"0:19:40";"0:2:13";"0:0:14"
06/10/13;"0:2:56";"0:32:39";"2:7:24";"0:20:9";"0:0:0"
11/10/13;"0:10:29";"0:17:50";"0:15:56";"0:5:5";"0:0:49"
13/10/13;"0:31:40";"0:21:30";"0:17:16";"0:5:49";"0:0:0"
14/10/13;"0:12:30";"0:38:45";"0:22:29";"0:1:27";"0:0:0"
17/10/13;"0:37:44";"1:4:1";"0:15:8";"0:0:0";"0:0:0"
19/10/13;"0:1:3";"0:4:36";"0:39:45";"0:17:43";"0:2:51"
21/10/13;"0:9:1";"0:29:38";"0:20:4";"0:5:13";"0:0:53"
22/10/13;"0:10:36";"0:19:34";"0:23:26";"0:5:27";"0:0:0"
26/10/13;"2:47:29";"1:6:55";"0:33:13";"0:9:34";"0:0:0"
27/10/13;"0:49:20";"0:17:2";"0:17:14";"0:6:4";"0:0:0"
28/10/13;"0:8:37";"0:13:48";"0:9:55";"0:5:27";"0:0:11"
30/10/13;"0:44:55";"0:14:47";"0:7:3";"0:0:49";"0:0:0"
01/11/13;"0:6:5";"0:12:45";"0:19:46";"0:7:10";"0:0:0"
03/11/13;"0:50:52";"0:58:30";"1:19:50";"0:13:49";"0:0:0"
07/11/13;"0:12:14";"0:28:16";"0:30:15";"0:0:42";"0:0:0"
09/11/13;"2:7:27";"0:27:22";"0:21:26";"0:1:39";"0:0:0"
